gender,height_cm,weight_kg,body_fat_pct,chest_cm,waist_cm,shoulders_cm,arms_cm,forearms_cm,neck_cm,thighs_cm,calves_cm,hips_cm,ratio_shoulder_to_waist,ratio_chest_to_waist,ratio_hip_to_waist,ratio_thigh_to_waist,ratio_calf_to_thigh,ratio_arm_to_neck,ratio_forearm_to_arm,target_focus
male,170.7,92.5,23.6,84.4,72.3,119.0,32.7,27.9,35.4,63.3,28.485,96.5,1.6459,1.1674,1.3347,0.8755,0.45,0.9237,0.8532,calves
male,181.3,70.0,20.2,92.3,91.9,117.6,33.3,26.0,41.7,57.1,34.3,93.5,1.2797,1.0044,1.0174,0.6213,0.6007,0.7986,0.7808,chest
male,180.6,87.8,20.6,117.1,80.3,113.9,30.7,29.8,41.4,57.3,32.6,90.2,1.4184,1.4583,1.1233,0.7136,0.5689,0.7415,0.9707,arms
male,183.2,89.6,14.0,101.9,85.1,119.7,37.5,28.7,40.0,58.4,37.2,100.4,1.4066,1.1974,1.1798,0.6863,0.637,0.9375,0.7653,chest
male,175.8,75.4,14.2,97.8,97.5,111.1,37.9,23.0,37.0,59.0,38.3,101.0,1.1395,1.0031,1.0359,0.6051,0.6492,1.0243,0.6069,shoulders
female,162.9,59.9,31.1,88.7,63.8,96.1,24.8,24.2,33.4,60.1,33.5,101.3,1.5063,1.3903,1.5878,0.942,0.5574,0.7425,0.9758,arms
male,175.8,88.4,14.0,97.1,80.6,108.4,35.9,26.6,38.0,60.9,37.8,100.7,1.3449,1.2047,1.2494,0.7556,0.6207,0.9447,0.7409,shoulders
female,162.5,64.1,15.9,79.9,63.4,97.0,29.4,20.7,32.1,63.8,28.71,105.9,1.53,1.2603,1.6703,1.0063,0.45,0.9159,0.7041,calves
male,176.6,68.7,16.0,106.7,68.5,121.5,35.0,26.2,33.7,58.4,33.9,97.6,1.7737,1.5577,1.4248,0.8526,0.5805,1.0386,0.7486,forearms
male,189.2,78.6,11.9,101.4,86.0,128.9,37.3,29.1,42.4,50.9,33.4,89.5,1.4988,1.1791,1.0407,0.5919,0.6562,0.8797,0.7802,legs
male,168.4,90.9,16.7,88.2,74.9,120.5,37.4,34.0,46.7,60.5,32.0,81.1,1.6088,1.1776,1.0828,0.8077,0.5289,0.8009,0.9091,arms
female,160.1,60.4,22.3,89.0,82.5,105.1,21.6,20.4,28.8,53.1,34.8,114.1,1.2739,1.0788,1.383,0.6436,0.6554,0.75,0.9444,arms
male,184.9,75.0,10.9,92.3,77.5,135.0,30.7,30.5,35.3,63.6,37.5,94.9,1.7419,1.191,1.2245,0.8206,0.5896,0.8697,0.9935,chest
female,161.1,69.9,23.3,81.4,63.8,105.2,33.5,23.4,32.7,57.7,39.6,101.8,1.6489,1.2759,1.5956,0.9044,0.6863,1.0245,0.6985,forearms
male,185.7,88.0,27.2,101.5,73.0,107.1,40.6,33.2,37.5,55.7,25.065,88.3,1.4671,1.3904,1.2096,0.763,0.45,1.0827,0.8177,calves
female,168.9,60.7,26.0,88.9,76.7,113.9,28.3,24.6,27.9,55.7,32.0,90.2,1.485,1.1591,1.176,0.7262,0.5745,1.0143,0.8693,chest
female,163.0,75.1,18.0,90.2,70.1,101.7,31.5,24.3,36.3,55.1,32.6,98.2,1.4508,1.2867,1.4009,0.786,0.5917,0.8678,0.7714,arms
male,179.2,66.8,18.5,101.8,106.7,133.0,30.6,27.1,33.6,54.5,37.3,104.4,1.2465,0.9541,0.9784,0.5108,0.6844,0.9107,0.8856,legs
male,173.4,51.9,17.0,91.5,79.2,111.0,33.6,22.7,33.6,70.8,30.9,88.3,1.4015,1.1553,1.1149,0.8939,0.4364,1.0,0.6756,calves
male,198.3,65.6,15.8,102.7,99.6,110.1,33.0,30.3,39.3,55.7,35.5,86.4,1.1054,1.0311,0.8675,0.5592,0.6373,0.8397,0.9182,shoulders
female,163.4,67.6,22.7,93.3,82.1,105.1,29.2,23.1,33.0,51.7,36.1,99.2,1.2801,1.1364,1.2083,0.6297,0.6983,0.8848,0.7911,shoulders
female,174.4,69.2,21.4,82.2,83.5,105.8,29.7,18.6,35.3,58.7,26.415000000000003,96.2,1.2671,0.9844,1.1521,0.703,0.45,0.8414,0.6263,chest
male,178.4,77.9,17.4,98.0,85.4,129.8,28.875,27.3,38.5,59.8,34.5,83.7,1.5199,1.1475,0.9801,0.7002,0.5769,0.75,0.9455,arms
male,190.1,60.5,23.2,97.4,83.4,109.6,32.7,31.9,39.7,68.4,40.7,99.1,1.3141,1.1679,1.1882,0.8201,0.595,0.8237,0.9755,shoulders
male,181.1,93.6,16.2,100.5,77.7,125.9,29.3,30.3,37.4,65.0,39.0,108.7,1.6203,1.2934,1.399,0.8366,0.6,0.7834,1.0341,arms
female,155.6,64.3,19.0,86.4,86.1,108.5,25.6,20.5,33.1,48.7,32.7,102.5,1.2602,1.0035,1.1905,0.5656,0.6715,0.7734,0.8008,chest
male,182.3,49.9,19.8,100.6,87.7,130.9,25.7,26.2,39.8,48.5,41.9,98.6,1.4926,1.1471,1.1243,0.553,0.8639,0.6457,1.0195,arms
male,174.0,93.4,24.4,101.9,86.1,120.2,30.5,27.6,37.5,60.3,40.0,88.6,1.3961,1.1835,1.029,0.7003,0.6633,0.8133,0.9049,arms
female,173.9,56.8,21.1,91.4,80.8,104.1,32.7,25.1,35.1,59.3,26.685,98.4,1.2884,1.1312,1.2178,0.7339,0.45,0.9316,0.7676,calves
female,174.6,60.0,26.6,99.2,61.2,95.2,22.4,21.0,34.1,59.1,36.0,88.7,1.5556,1.6209,1.4493,0.9657,0.6091,0.6569,0.9375,arms
male,178.4,75.4,20.8,105.6,85.2,124.1,34.9,29.6,35.9,56.9,36.8,101.7,1.4566,1.2394,1.1937,0.6678,0.6467,0.9721,0.8481,chest
male,181.6,78.3,17.3,106.6,66.1,107.6,28.1,21.0,36.0,62.5,34.9,97.4,1.6278,1.6127,1.4735,0.9455,0.5584,0.7806,0.7473,arms
